subject_id,condition
sub-110056,young
sub-110411,young
sub-120182,young
sub-120409,young
sub-120462,young
sub-120470,young
sub-120727,young
sub-121685,young
sub-121795,young
sub-122405,young
sub-210051,young
sub-210250,young
sub-210519,young
sub-212153,young
sub-220151,young
sub-220610,young
sub-220920,young
sub-220974,young
sub-221775,young
sub-221954,young
sub-222125,young
sub-222326,young
sub-223286,young
sub-310052,young
sub-310203,young
sub-310473,young
sub-320448,young
sub-320575,young
sub-320686,young
sub-321000,young
sub-321544,young
sub-410113,old
sub-410182,old
sub-410390,old
sub-420197,old
sub-420226,young
sub-420356,old
sub-420396,old
sub-420582,old
sub-510086,old
sub-510243,old
sub-510474,old
sub-510648,old
sub-520097,old
sub-520254,old
sub-520424,old
sub-520517,old
sub-610028,old
sub-610146,old
sub-620164,old
sub-620479,old
sub-620659,old
sub-620793,old
sub-710037,old
sub-710591,old
sub-711244,old
sub-720329,old
sub-110037,young
sub-110174,young
sub-110182,young
sub-110319,young
sub-120049,young
sub-120065,young
sub-120208,young
sub-120218,young
sub-120313,young
sub-120550,young
sub-120640,young
sub-120987,young
sub-121106,young
sub-121158,young
sub-121200,young
sub-121317,young
sub-210023,young
sub-210088,young
sub-210148,young
sub-210172,young
sub-210314,young
sub-210422,young
sub-220115,young
sub-220198,young
sub-220223,young
sub-220284,young
sub-220323,young
sub-220352,young
sub-220372,young
sub-220518,young
sub-220519,young
sub-220535,young
sub-220828,young
sub-221002,young
sub-221033,young
sub-221220,young
sub-221373,young
sub-221487,young
sub-221511,young
sub-221565,young
sub-221755,young
sub-221886,young
sub-221935,young
sub-221980,young
sub-222258,young
sub-222367,young
sub-222956,young
sub-310008,young
sub-310086,young
sub-310135,young
sub-310160,young
sub-310224,young
sub-310407,young
sub-310414,young
sub-310450,young
sub-320109,young
sub-320160,young
sub-320206,young
sub-320267,young
sub-320342,young
sub-320500,young
sub-320553,young
sub-320574,young
sub-320636,young
sub-320651,young
sub-320661,young
sub-320687,young
sub-320814,young
sub-320870,young
sub-320888,young
sub-320893,young
sub-320904,young
sub-321025,young
sub-321069,young
sub-321087,young
sub-321154,young
sub-321529,young
sub-321557,young
sub-321594,young
sub-321595,young
sub-410032,old
sub-410094,old
sub-410129,old
sub-410169,young
sub-410177,old
sub-410287,old
sub-410325,old
sub-412021,old
sub-420143,old
sub-420167,old
sub-420198,old
sub-420204,old
sub-420222,old
sub-420231,old
sub-420241,old
sub-420286,old
sub-420324,old
sub-420587,young
sub-420589,old
sub-510163,old
sub-510237,old
sub-510534,old
sub-510551,old
sub-520011,old
sub-520122,old
sub-520127,old
sub-520239,old
sub-520390,old
sub-520391,old
sub-520395,old
sub-520477,old
sub-520480,old
sub-520562,old
sub-520584,old
sub-520585,old
sub-520607,old
sub-520624,old
sub-520745,old
sub-520980,old
sub-521040,old
sub-610022,old
sub-610227,old
sub-610288,old
sub-610392,old
sub-610462,old
sub-610508,old
sub-610653,old
sub-620073,old
sub-620129,old
sub-620354,old
sub-620490,old
sub-620557,old
sub-620572,old
sub-621118,old
sub-710176,old
sub-710313,old
sub-710382,old
sub-720188,old
sub-722651,old
sub-723395,old
