x,y,z
-26,-77,-14
-27,-95,-12
-5,-93,-4
-23,-97,6
-40,-85,11
-23,-87,23
-24,-53,-9
-10,-67,-4
-14,-44,-3
-11,-70,7
-12,-73,22
-7,-87,28
-7,-12,46
-49,-28,57
-40,-25,57
-32,-22,64
-26,-38,68
-20,-11,68
-5,-29,67
-19,-31,68
-51,-4,-2
-53,-24,9
-37,-21,16
-55,-4,10
-56,-40,20
-53,-22,18
-56,-8,31
-47,-9,46
-43,-48,-19
-45,-69,-8
-47,-70,10
-26,-70,38
-17,-73,54
-29,-60,59
-54,-27,42
-41,-35,47
-31,-46,63
-17,-53,68
-31,-4,53
-61,-26,28
-39,-4,-4
-39,1,11
-51,9,11
-11,-35,46
-6,9,41
-6,-3,65
-60,-39,36
-28,43,31
-33,20,5
-6,30,25
-24,22,-20
-10,35,-21
-29,-6,-39
-45,-20,-30
-28,10,-34
-43,8,-19
-57,-60,-1
-35,-62,48
-45,-42,46
-33,-49,47
-22,6,62
-42,40,16
-44,20,27
-48,6,29
-43,6,43
-3,4,30
-61,-43,-13
-53,-51,46
-40,19,49
-42,49,-6
-28,58,8
-9,-73,38
-6,-60,57
-5,-29,28
-46,-66,38
-24,25,49
-5,-55,27
-4,-31,36
-6,-54,42
-6,36,-10
-12,63,-6
-6,44,7
-47,8,-33
-60,-19,-22
-56,-6,-12
-58,-30,-4
-57,-54,28
-8,59,21
-11,47,45
-3,33,43
-9,17,63
-35,20,-13
-32,42,-13
-46,31,-7
-52,22,8
-39,-80,31
-11,-56,13
-26,-32,-18
-58,-43,7
-48,-57,18
-22,-4,-18
-14,-26,2
-8,-14,8
-10,14,-6
-24,0,0
-12,10,10
-23,-14,-20
-28,-28,-10
-22,-38,-2
29,-69,-12
48,-71,-6
11,-92,-5
31,-94,-4
42,-80,10
20,-90,22
12,-65,-5
16,-46,-1
9,-75,9
22,-60,7
11,-74,26
16,-85,39
51,-22,52
47,-11,48
7,-11,51
40,-24,57
32,-40,64
33,-21,65
29,-34,65
22,-9,67
10,-39,69
6,-23,69
20,-29,70
51,-15,5
64,-23,8
38,-13,15
44,-27,18
59,0,10
56,-11,14
58,-5,31
50,-53,-15
52,-60,9
33,-75,32
15,-73,53
34,-48,51
26,-61,58
59,-16,34
41,-31,46
8,-56,61
21,-48,70
34,-4,52
60,-26,27
51,4,40
41,6,-15
46,-4,-4
43,7,4
7,9,41
10,-15,41
11,-36,47
8,3,66
62,-37,37
43,45,10
30,48,27
34,21,-8
36,24,5
7,31,28
12,39,-22
28,22,-19
5,37,-14
15,64,-8
30,9,-38
47,-12,-35
25,-11,-32
39,-35,-23
37,-63,47
46,-38,49
26,7,58
52,11,21
46,24,26
5,3,30
61,-13,-21
63,-41,-12
51,-59,44
53,-42,48
41,33,37
42,14,49
36,46,-13
29,58,5
7,25,55
23,24,53
14,-70,37
6,-58,44
5,-24,31
54,-50,28
29,30,42
7,-49,31
8,42,4
6,29,15
8,58,18
63,-27,-6
47,13,-30
15,46,44
51,28,0
47,-69,27
12,-55,15
28,-36,-14
55,-6,-10
52,-31,2
57,-45,9
60,-39,17
24,-4,-18
16,-26,2
10,-14,8
12,14,-6
26,0,0
14,10,10
25,-14,-20
30,-28,-10
24,-38,-2
